Ticker,Sector,Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Beta vs Nifty 50,Maximum Drawdown (%),SMA-50,SMA-200,SMA Signal
APOLLOHOSP,Pharma,29.5,21.76,1.0569,0.5635,-14.87,7050.71,6559.55,Golden Cross
AXISBANK,Banking,6.91,21.92,0.0185,1.0601,-18.78,1144.55,1160.8,Death Cross
CIPLA,Pharma,20.86,24.09,0.596,0.3322,-20.77,1487.43,1492.87,Death Cross
DIVISLAB,Pharma,36.07,26.28,1.1254,0.453,-21.45,5901.81,4838.6,Golden Cross
DRREDDY,Pharma,29.36,19.46,1.1746,0.4291,-15.61,1263.89,1267.88,Death Cross
HCLTECH,IT,43.26,21.38,1.719,0.7871,-21.66,1792.28,1558.68,Golden Cross
HDFCBANK,Banking,5.98,19.82,-0.0265,1.0391,-19.91,876.15,804.55,Golden Cross
ICICIBANK,Banking,21.48,18.34,0.8171,0.9694,-9.34,1282.17,1188.17,Golden Cross
INFY,IT,15.58,23.09,0.3934,0.9017,-24.34,1825.72,1648.63,Golden Cross
KOTAKBANK,Banking,-2.31,20.41,-0.4318,0.8634,-23.15,352.1,353.36,Death Cross
SBIN,Banking,16.04,25.59,0.3729,1.3916,-17.48,812.27,795.13,Golden Cross
SUNPHARMA,Pharma,40.24,17.39,1.9399,0.4725,-12.24,1789.64,1661.11,Golden Cross
TCS,IT,16.54,19.7,0.5099,0.7472,-13.17,3988.23,3898.45,Golden Cross
TECHM,IT,36.85,25.14,1.2074,0.8729,-16.22,1665.61,1439.69,Golden Cross
WIPRO,IT,25.44,24.17,0.7836,1.0728,-19.53,271.8,244.06,Golden Cross
